Utterance,Label
Bioinformatics of genome regulation and structure. PART 2 is enough for now,1
Natural language processing and information retrieval is enough for now,1
"Quantum wells, wires and dots is enough for now",1
Mathematics of coding theory is enough for now,1
Discrete mathematics with algorithms is enough for now,1
Image processing for remote sensing is enough for now,1
Linear optimization is enough for now,1
Data structures is enough for now,1
Introduction to mathematical logic is enough for now,1
Introductory course on mathematical game theory is enough for now,1
Introduction to cryptography with maple is enough for now,1
Algorithms for VLSI design automation is enough for now,1
Parallel algorithms is enough for now,1
Elements of computation theory is enough for now,1
Markov processes and applications is enough for now,1
Algorithms in bioinformatics is enough for now,1
Data structures and software develoment is enough for now,1
"Topics in geometry, coding theory and cryptography is enough for now",1
Machine vision is enough for now,1
When life is linear is enough for now,1
Bioinformatics algorithms is enough for now,1
Game theory with economic applications is enough for now,1
Algorithms unplugged is enough for now,1
Spectral Methods in Chemistry and Physics is enough for now,1
Mathematical and computer programming techniques for computer graphics is enough for now,1
Computational methods in physics and engineering is enough for now,1
Handbook of computer vision and applications. VOL 3 is enough for now,1
"Mathematical foundations of scientific visualization, computer graphics, and massive data exploration is enough for now",1
Information storage and retrieval systems is enough for now,1
Real-world applications of evolutionary computing is enough for now,1
Mining of massive datasets is enough for now,1
Resource management in real time systems and networks is enough for now,1
Reconfigurable computing is enough for now,1
Computational discrete mathematics is enough for now,1
Digital signal processing using MATLAB is enough for now,1
Building data mining applications for CRM is enough for now,1
Fundamentals of data structures is enough for now,1
Practical linear algebra is enough for now,1
Algorithms in real algebraic geometry is enough for now,1
Randomized algorithms is enough for now,1
Condition is enough for now,1
Coding theory and cryptography is enough for now,1
"Information theory, inference and learning algorithms is enough for now",1
Probability and stochastic modeling is enough for now,1
Gentle introduction to game theory Vol. 13 is enough for now,1
Bioinformatics using computational intelligence paradgims is enough for now,1
Interaction design is enough for now,1
Distributed operating systems is enough for now,1
Opportunistic mobile social networks is enough for now,1
Data structures and algorithms in C++ is enough for now,1
Physics of nanoelectronics is enough for now,1
Introduction to graph theory is enough for now,1
Distributed databases is enough for now,1
Soft computing is enough for now,1
Elements of statistical learning is enough for now,1
First course in artificial intelligence is enough for now,1
Foundations of coding is enough for now,1
Mastering openCV android application programming is enough for now,1
Introduction to the analysis of algorithms is enough for now,1
Game theory for wireless communications and networking is enough for now,1
Introductory graph theory is enough for now,1
Artificial intelligence and soft computing is enough for now,1
Protecting information is enough for now,1
Bridge to higer mathematics is enough for now,1
Algorithms for next generation sequencing is enough for now,1
Discrete optimization algorithms is enough for now,1
Pattern recognition and machine learning is enough for now,1
Introduction to bioinformatics is enough for now,1
Practical support for lean six sigma software process definition is enough for now,1
Learning machine translation is enough for now,1
Introduction to engineering programming is enough for now,1
Networking and internetworking with microcontrollers is enough for now,1
Complexity theory is enough for now,1
Geometry of information retrieval is enough for now,1
Computer processing of remotely-sensed images is enough for now,1
Data structures using C is enough for now,1
Large the small and the human mind is enough for now,1
Fundamenals of robotics is enough for now,1
Advanced concepts in operating systems is enough for now,1
Knowledge in formation is enough for now,1
Exact exponential algorithms is enough for now,1
New perspectives on industrial organization is enough for now,1
Democratization and research methods is enough for now,1
Extremal graph theory is enough for now,1
Sublime dreams of living machines is enough for now,1
Bioinformatics in the post-genomic era is enough for now,1
Handbook of computational quantum chemistry is enough for now,1
Graph theory as I have known it is enough for now,1
Social media content analysis : is enough for now,1
Introduction to conformal field theory is enough for now,1
Software essentials is enough for now,1
Java 8 lambdas is enough for now,1
Discrete inverse problems is enough for now,1
"Algorithms on strings, trees, and sequences is enough for now",1
Computer programming in fortran 77 is enough for now,1
Robotic exploration and landmark determination is enough for now,1
Handbook of bioinspired algorithms and applications is enough for now,1
Ambient networks is enough for now,1
Understanding operating systems is enough for now,1
Applied cryptography is enough for now,1
Algorithms is enough for now,1
C and data structures is enough for now,1
Invitation to graph theory is enough for now,1
Logic minimization algorithms for VLSI synthesis is enough for now,1
Self reconfigurable robots is enough for now,1
Applied quantum cryptography is enough for now,1
Manufacturing automation : is enough for now,1
Musimathics VOL. 2 is enough for now,1
Doing interview based qualitative research is enough for now,1
Lectures in Abstract Algebra is enough for now,1
Foundations of cryptography. VOL 1 is enough for now,1
Dynamics and robust control of robot - environment interaction is enough for now,1
Computer architecture and parallel processing is enough for now,1
Computer architecture and organization is enough for now,1
Art and technology of software enginering is enough for now,1
Classification algorithms for codes and designs is enough for now,1
Domain theoretic foundations of functional programming is enough for now,1
"3G, HSPA and FDD versus TDD networking is enough for now",1
Principles of computer graphics is enough for now,1
Fundamentals of relational databases is enough for now,1
Robots and screw theory is enough for now,1
Introduction to operating systems is enough for now,1
Learn to program visual basic databases is enough for now,1
Neural networks is enough for now,1
Computer graphics is enough for now,1
Red hat linux networking and system administration is enough for now,1
Biotechnology VOL 5B is enough for now,1
Doing data science is enough for now,1
Digital signal and image processing using MATLAB is enough for now,1
Algorithms unlocked is enough for now,1
Graph theory and Its applications is enough for now,1
Decision making in the manufacturing environment using graph theory and fuzzy multiple attribute decision making methods VOL. 2 is enough for now,1
Multi-objective optimization using evolutionary algorithms is enough for now,1
Programmer's view of computer architecture is enough for now,1
Head first C is enough for now,1
Applied informetrics for information retrieval research is enough for now,1
Theoretical neuroscience is enough for now,1
Data structures and programme design is enough for now,1
Quantum information theory is enough for now,1
Starting out with oracle is enough for now,1
Data management and file structures is enough for now,1
Introducing the theory of computation is enough for now,1
Data structures and algorithms in JAVA is enough for now,1
"Discovering genomics, proteomics, and bioinformatics is enough for now",1
Handbook of medical image processing and analysis is enough for now,1
Algebras graphs and their applications is enough for now,1
Space-time coding is enough for now,1
Hands-on microsoft windows server 2003 networking is enough for now,1
Mathematical logic is enough for now,1
Modern cryptography is enough for now,1
Probability and computing is enough for now,1
Essential John Nash is enough for now,1
Designing connected products is enough for now,1
Proofs and algorithms is enough for now,1
"Groups, languages, algorithms is enough for now",1
Cryptography in C and C++ is enough for now,1
Ethernet networking for the small office and professional home office is enough for now,1
Relational data clustering is enough for now,1
Image fusion is enough for now,1
Advanced computer architecture and parallel processing is enough for now,1
Automotive ergonomics is enough for now,1
Indian asceticism is enough for now,1
Speech and language processing is enough for now,1
"Robot manipulators modeling, performance analysis and control is enough for now",1
Industrial robotics is enough for now,1
Geometric fundamentals of robotics is enough for now,1
Stable throghput regions in wireless networks is enough for now,1
Programming with class is enough for now,1
Discrete mathematics with graph theory is enough for now,1
Introduction to digital image processing is enough for now,1
"Genetic algorithms in search, optimization, and machine learning is enough for now",1
Foundations and applications of statistics is enough for now,1
Digital signal processing handbook is enough for now,1
Optimization in chemical engineering is enough for now,1
Knots molecules and the universe is enough for now,1
Knowledge discovery in bioinformatics is enough for now,1
Accelerated C++ is enough for now,1
Six Sigma for Organizational Excellence is enough for now,1
Mathematical foundations of quantum staitstics is enough for now,1
Computer algorithms is enough for now,1
Python for bioinformatics is enough for now,1
Elements of parallel computing is enough for now,1
Mathematical foundations is enough for now,1
Computer programming is enough for now,1
Artificial intelligence illuminated is enough for now,1
Object oriented and classical software engineering is enough for now,1
Introduction to computational models with Python is enough for now,1
Phase transitions in combinatorial optimization problems is enough for now,1
Handbook of genome research. VOL 1 is enough for now,1
Almost human is enough for now,1
Algorithms architectures and information systems security is enough for now,1
Computer programming in FORTRAN 90 and 95 is enough for now,1
Computer science is enough for now,1
Distributed computing is enough for now,1
Computing universe is enough for now,1
Theory of computation is enough for now,1
Computer security in the twenty first century is enough for now,1
Big data management and processing is enough for now,1
Mathematical and algorithmic foundations of the internet is enough for now,1
Discrete mathematics is enough for now,1
Theory and problems of computer networking is enough for now,1
Theory of applied robotics is enough for now,1
Discrete mathematics and its applications is enough for now,1
What is mathematical logic? is enough for now,1
"Neural networks, fuzzy logic, and genetic algorithms is enough for now",1
Information theory coding and cryptography is enough for now,1
Natural language processing and computational linguistics is enough for now,1
Quantum computing is enough for now,1
Compleat strategyst is enough for now,1
Context free languages and primitive words is enough for now,1
Parallel computing is enough for now,1
Hackers and painters is enough for now,1
Understanding and applying cryptography and data security is enough for now,1
Approximation algorithms for NP-hard problems is enough for now,1
Foundations of statistical algorithms is enough for now,1
Foundations of software testing is enough for now,1
Basic concepts in data structures is enough for now,1
Data structures with C is enough for now,1
Underwater acoustic networking techniques is enough for now,1
Signal transduction is enough for now,1
Geometric approximation algorithms VOL. 173 is enough for now,1
Machine learning with Python cookbook : is enough for now,1
Introduction to data communications and networking is enough for now,1
Wireless mobile networking with ANSI-41 is enough for now,1
Security of e-systems and computer networks is enough for now,1
Mind at play is enough for now,1
Evaluating learning algorithms is enough for now,1
Internal-combustion engine in theory and practice. VOL 1 is enough for now,1
Bioinformatics computing is enough for now,1
Data mining in bioinformatics is enough for now,1
Introduction to parallel computing is enough for now,1
Art of computer programming VOL 4A is enough for now,1
Wireless security and cryptography is enough for now,1
Speculative execution in high performance computer architectures is enough for now,1
Design methods and analysis of algorithms is enough for now,1
Mathematical foundations of neuroscience is enough for now,1
Modern information retrieval is enough for now,1
Fundamentals of electronic image processing is enough for now,1
Fixed point theory for lipschitzian-type mappings with applications is enough for now,1
Cell biologist's guide to modeling and bioinformatics is enough for now,1
Relational databases is enough for now,1
Networking for dummies is enough for now,1
Introduction to computer networking is enough for now,1
Data management is enough for now,1
Gender technology relations is enough for now,1
Simulations of machines is enough for now,1
Handbook of approximation algorithms and metaheuristics is enough for now,1
Practical handbook of genetic algorithms. VOL 3 is enough for now,1
Cambridge handbook of biolinguistics is enough for now,1
Vibration analysis instruments and signal processing is enough for now,1
"Robotics, mechatronics, and artificial intelligence is enough for now",1
Geometric numerical integration is enough for now,1
Operating systems is enough for now,1
Introduction to machine learning is enough for now,1
Soft computing in software engineering is enough for now,1
Introduction to computational mathematics is enough for now,1
Computer security is enough for now,1
Advanced image processing in magnetic resonance imaging is enough for now,1
Introduction to genetic algorithms for scientists and engineers is enough for now,1
Large-scale parallel data mining is enough for now,1
Strategy is enough for now,1
Theory and problems of data structures is enough for now,1
Soft computing in electromagnetics is enough for now,1
Discovering computer science is enough for now,1
Defining digital humanities is enough for now,1
Fundamentals of data mining in genomics and proteomics is enough for now,1
Parallel image processing is enough for now,1
"Data structures, algorithms, and applications in Java is enough for now",1
Feasibility and infeasibility in optimization is enough for now,1
Fuzzy models and algorithms for pattern recognition and image processing is enough for now,1
Guided tour of relational databases and beyond is enough for now,1
Bayesian reasoning and machine learning is enough for now,1
"Medical image processing, reconstruction and restoration is enough for now",1
Signals and image processing sourcebook is enough for now,1
Introduction to quantum computing algorithms is enough for now,1
Bioinformatics is enough for now,1
Building machine learning systems with python is enough for now,1
Fixed points and economic equilibria is enough for now,1
Friendly introduction to graph theory is enough for now,1
Software engineering is enough for now,1
"Mathematical methods and theory in games, programming, and economics. VOL 1 is enough for now",1
Guide to experimental algorithmics is enough for now,1
Art of computer programming. VOL III is enough for now,1
Algorithms and data structures in C++ is enough for now,1
Formal models and semantics VOL. B is enough for now,1
Programming Python is enough for now,1
Clean coder is enough for now,1
Semantic knowledge representation for information retrieval is enough for now,1
Essential bioinformatics is enough for now,1
Multicore computing is enough for now,1
Foundations of algorithms is enough for now,1
Advanced data mining techniques is enough for now,1
Applied text analysis with python is enough for now,1
Digital signals is enough for now,1
Applied and algorithmic graph theory is enough for now,1
Tour through mathematical logic is enough for now,1
Fundamentals of the theory of computation is enough for now,1
McGraw-Hill encyclopedia of networking and telecommunications is enough for now,1
Bioinformatics technologies is enough for now,1
Boolean functions in coding theory and cryptography is enough for now,1
Philosophy of the arts is enough for now,1
Handbook of software engineering and knowledge engineering. VOL 2 is enough for now,1
Programming is enough for now,1
Book of WI-FI is enough for now,1
Prolog programming for artificial intelligence is enough for now,1
Folkloresque is enough for now,1
Theory and problems of computer graphics is enough for now,1
Web data mining is enough for now,1
Code book is enough for now,1
Evolution cognition and performance is enough for now,1
Computability of julia sets is enough for now,1
Practical genetic algorithms is enough for now,1
Assembly language and computer architecture using C++ and JAVA is enough for now,1
Algorithms for analysis inference and control of boolean networks is enough for now,1
Modern operating systems is enough for now,1
Knowledge discovery from data streams is enough for now,1
Video game theory reader is enough for now,1
Programming in java is enough for now,1
Applied cryptography for cyber security and defense is enough for now,1
"Data clustering theory, algorithms, and applications is enough for now",1
Operating systems and systems programming is enough for now,1
Data science with Java is enough for now,1
Texts in statistical science : is enough for now,1
Integrated introduction to computer graphics and geometric modeling is enough for now,1
Perl programming for bioinformatics and biologists is enough for now,1
Evolutionary algorithms for solving multi objective problems is enough for now,1
Algorithms and complexity VOL. A is enough for now,1
Evolution of the web in artificial intelligence environments is enough for now,1
New frontier in evolutionary algorithms is enough for now,1
Data mining and knowledge discovery with evolutionary algorithms is enough for now,1
Introduction to computational chemistry is enough for now,1
Programming in C++ is enough for now,1
Machine design is enough for now,1
Internet programming with JAVA 2 platform is enough for now,1
Topological methods in data analysis and visualization is enough for now,1
Wireless sensor networks is enough for now,1
Bioinspired computation in combinatorial optimization is enough for now,1
"Computers, pattern, chaos, and beauty is enough for now",1
Databases is enough for now,1
Algorithmic graph theory is enough for now,1
"Graphs, networks and algorithms is enough for now",1
Software engineering 2 is enough for now,1
Mathematical logic for computer science is enough for now,1
Winding around is enough for now,1
Programming in objective C is enough for now,1
Encyclopaedia of information technology for schools. VOL 3 is enough for now,1
Introduction to bioinformatics algorithms is enough for now,1
Implementing spectral methods for partial differential equations is enough for now,1
Modern graph theory is enough for now,1
Graph theory applications is enough for now,1
CNC programming is enough for now,1
"Data warehousing, data mining, and OLAP is enough for now",1
Engineering approach to computer networking is enough for now,1
Game theory and pragmatics is enough for now,1
Big data computing is enough for now,1
Lectures on quantum theory is enough for now,1
Networking is enough for now,1
Quantum computing devices is enough for now,1
Bayesian programming is enough for now,1
Faster algorithms via approximation theory is enough for now,1
Artificial intelligence and soft computing for beginners is enough for now,1
Cambridge handbook of artificial intelligence is enough for now,1
Multimedia information networking is enough for now,1
Tractatus logico philosophicus is enough for now,1
HyperCities is enough for now,1
Data structures using c is enough for now,1
Classical introduction to cryptography is enough for now,1
Design and analysis of computer algorithms is enough for now,1
Introduction to coding theory is enough for now,1
Visual data mining is enough for now,1
Beginners guide to graph theory is enough for now,1
Minds new science is enough for now,1
Swarm intelligence from natural to artificial systems is enough for now,1
Elements of distributed computing is enough for now,1
R programming for bioinformatics is enough for now,1
Applied data mining is enough for now,1
Art of computer programming. VOL II is enough for now,1
Advances in dynamic games is enough for now,1
Data structures using c and c++ is enough for now,1
Data mining techniques is enough for now,1
Data structures and algorithms using C is enough for now,1
Digital image processing and computer vision is enough for now,1
Design and methods and analysis of algorithms is enough for now,1
Algorithmic aspects of bioinformatics is enough for now,1
Robotics primer is enough for now,1
Classical and fuzzy concepts in mathematical logic and applications is enough for now,1
Handbook of computer vision and applications. VOL 1 is enough for now,1
Beginning cryptography with Java is enough for now,1
Introduction to data structures and algorithms is enough for now,1
Software development is enough for now,1
Algorithms and data structures is enough for now,1
Introduction to computer networks and cybersecurity is enough for now,1
Computational chemistry is enough for now,1
Computational quantum chemistry is enough for now,1
Deep learning : is enough for now,1
Fundamentals of robotic mechanical systems is enough for now,1
Cyberpsychology : is enough for now,1
Getting a big data job for dummies is enough for now,1
Introduction to number theory with cryptography is enough for now,1
Introduction to multimedia communications is enough for now,1
Computer graphics for Java programmers is enough for now,1
Statisical methods in bioinformatics is enough for now,1
Microprocessors and interfacing is enough for now,1
Energy minimization methods in computer vision and pattern recognition is enough for now,1
Optimization for engineering design : is enough for now,1
Discrete systems and integrability is enough for now,1
Computer programming and architecture is enough for now,1
C programming and data structures is enough for now,1
Basic bioinformatics is enough for now,1
Conversations about challenges in computing is enough for now,1
Embedded systems and robotics with open source tools is enough for now,1
Principles of computer security is enough for now,1
Algebraic curves in cryptography is enough for now,1
Computer graphics and geometric modeling is enough for now,1
Theory and computation of hydrodynamic stability is enough for now,1
Basics of theoretical and computational chemistry is enough for now,1
Web data management is enough for now,1
Mastering data mining is enough for now,1
Pattern recognition algorithms for data mining is enough for now,1
"Adaptation, learning, and optimization over networks is enough for now",1
Polynomials is enough for now,1
Mathematical foundations of statistical mechanics is enough for now,1
Mythical man-month is enough for now,1
Bioinformatics in pharma industry is enough for now,1
Biosignal processing is enough for now,1
Software quality engineering is enough for now,1
Practical bioinformatics is enough for now,1
Handbook of data structures and applications is enough for now,1
Max - linear systems is enough for now,1
Computational quantum chemistry. PART 2 is enough for now,1
"CAD, CAM, Robotics and factories of the future Vol 2 is enough for now",1
Mathematical aspects of logic programming semantics is enough for now,1
Geometry for computer graphics is enough for now,1
Introduction to splines for use in computer graphics and geometric modelling is enough for now,1
XML for bioinformatics is enough for now,1
Introduction to information retrieval is enough for now,1
Practical foundations for programming languages is enough for now,1
Probabilistic modeling in bioinformatics and medical informatics is enough for now,1
Emperical methods for artificial intelligence is enough for now,1
Computer vision and applications is enough for now,1
Quantum theory from first principles : is enough for now,1
Logic synthesis and verification algorithms is enough for now,1
Computer fundamentals and programming in C is enough for now,1
Handbook of graph theory combinatorial optimization and algorithms is enough for now,1
Cryptography and security is enough for now,1
Computational chemistry of solid state materials is enough for now,1
Hierarchical bayesian optimization algorithm is enough for now,1
Blockchain applications is enough for now,1
Projects using C is enough for now,1
Mobile inter-networking with IPv6 is enough for now,1
Introduction to the theory of games is enough for now,1
Data mining with computational intelligence is enough for now,1
Fractal geometry is enough for now,1
Mining sequential patterns from large data sets is enough for now,1
Image sensors and signal processing for digital still cameras is enough for now,1
Mathematical elements for computer graphics is enough for now,1
Information retrieval is enough for now,1
Geometric methods in signal and image analysis is enough for now,1
Fluid simulation for computer graphics is enough for now,1
Content networking is enough for now,1
Fundamentals of data structures in C++ is enough for now,1
Rational algebraic curves is enough for now,1
Foundations of digital signal processing is enough for now,1
Machine learning for hackers is enough for now,1
Interactive computer graphics is enough for now,1
Introduction to algorithms is enough for now,1
Fundamentals of software engineering is enough for now,1
Electrical machines is enough for now,1
Course in number theory and cryptography is enough for now,1
Procedural elements for computer graphics is enough for now,1
Sourcebook of parallel computing is enough for now,1
Programming of computer numerically controlled machines is enough for now,1
Discrete mathematics with combinatorics and graph theory is enough for now,1
Distributed and cloud computing is enough for now,1
Continuous time dynamical systems is enough for now,1
Networking approach to grid computing is enough for now,1
Theory of games and statistical decisions is enough for now,1
Fundamental concepts of bioinformatics is enough for now,1
Fundamentals of digital image processing is enough for now,1
Computer architecture and implementation is enough for now,1
Developing bioinformatics computer skills is enough for now,1
Object oriented Software Engineering is enough for now,1
From matter to life : is enough for now,1
Sparse and redundant representations is enough for now,1
Introduction to computer graphics is enough for now,1
CUDA Fortran for scientists and engineers is enough for now,1
Introduction to the theory of programming languages is enough for now,1
Mathematical image processing is enough for now,1
Mathematical foundations of quantum mechanics is enough for now,1
Topics in algebraic graph theory is enough for now,1
New optimization algorithms in physics is enough for now,1
Donald Michie on machine intelligence biology and more is enough for now,1
Quantum theory from first principles is enough for now,1
Applied parallel computing is enough for now,1
Probably approximately correct is enough for now,1
Introduction to numerical electrostatics using MATLAB is enough for now,1
Spectral analysis is enough for now,1
Intelligent bioinformatics is enough for now,1
Artificial intelligence is enough for now,1
Thinking in Java is enough for now,1
Game Theory and economics is enough for now,1
Neural networks and artificial intelligence for biomedical engineering is enough for now,1
Coming of Age With Quantum Information : is enough for now,1
Games and information is enough for now,1
Parsing schemata for practical text analysis is enough for now,1
Geometric tools for computer graphics is enough for now,1
Understanding machine learning is enough for now,1
Advanced data structures is enough for now,1
Everyday cryptography is enough for now,1
Core C++ is enough for now,1
Decision making using game theory is enough for now,1
Data structures and program design in C is enough for now,1
Data structures and algorithms made easy in JAVA is enough for now,1
Game theory is enough for now,1
Algebraic graph theory is enough for now,1
Neuro-Fuzzy and soft computing is enough for now,1
Handbook of applied cryptography is enough for now,1
Information theory in computer vision and pattern recognition is enough for now,1
Introduction to cryptography with coding theory is enough for now,1
Scalability density and decision making in cognitive wireless networks is enough for now,1
Universal artificial intelligence is enough for now,1
Mathematics of encryption is enough for now,1
Computer programming in pascal is enough for now,1
Handbook of sensor networks is enough for now,1
Bezier and splines in image processing and machine vision is enough for now,1
Bioinformatics programming using python is enough for now,1
Film art is enough for now,1
Concise introduction to mathematical logic is enough for now,1
Students guide to coding and information theory is enough for now,1
Computer vision in robotics and industrial applications is enough for now,1
Robust range image registration is enough for now,1
Computational physics is enough for now,1
Mathematics of games is enough for now,1
"Robotics, vision and control is enough for now",1
Evolutionary bioinformatics is enough for now,1
Intelligent multimedia processing with soft computing is enough for now,1
"Data sructures, algorithms and applications in c++ is enough for now",1
Encyclopedia of Distances is enough for now,1
Networking in easy steps is enough for now,1
Operations research is enough for now,1
Mathematical foundations of infinite dimensional statistical models is enough for now,1
Mobile ad hoc networking : is enough for now,1
Data structures and algorithms in Java is enough for now,1
Nonlinear biomedical signal processing. Vol 1 is enough for now,1
Elements of the theory of computation is enough for now,1
Business data communications and networking is enough for now,1
Principles of data mining is enough for now,1
Computer architecture is enough for now,1
Systematic program design is enough for now,1
Algorithmic number theory is enough for now,1
Color image processing is enough for now,1
Handbook on reasoning based intelligent systems is enough for now,1
Introduction to artificial intelligence and expert systems is enough for now,1
Evolutionary games and population dynamics is enough for now,1
Simulation for supply chain management is enough for now,1
Art of programming through flowcharts and algorithms is enough for now,1
Developing software for Symbian OS is enough for now,1
Image processing technologies is enough for now,1
Robotics and control is enough for now,1
Cross disciplinary advances in quantum computing is enough for now,1
Systems programming and operating systems is enough for now,1
Introduction to quantum computing is enough for now,1
Art of computer programming. VOL I is enough for now,1
Ontology and the lexicon is enough for now,1
Relativistic quantum theory of atoms and molecules is enough for now,1
Computational physics of carbon nanotubes is enough for now,1
High performance TCP/IP networking is enough for now,1
Mining the web is enough for now,1
Advanced topics in mathematical analysis is enough for now,1
Computer algebra and symbolic computation is enough for now,1
Essentials of computational chemistry is enough for now,1
Bioinformatics and molecular evolution is enough for now,1
Introduction to data mining is enough for now,1
Natural language processing is enough for now,1
Principia mathematica VOL. 3 is enough for now,1
Discrete mathematics and graph theory is enough for now,1
First course in graph theory and combinatorics is enough for now,1
Inside relational databases is enough for now,1
Logic computation hierarchies is enough for now,1
Algorithms and discrete applied mathematics is enough for now,1
"Cryptography, automata and learning theory is enough for now",1
Cryptography for visual basic is enough for now,1
Big data mining and analytics is enough for now,1
Wired for war is enough for now,1
Primality testing and integer factorization in public key cryptography is enough for now,1
Loss data analysis : is enough for now,1
Insights into game theory is enough for now,1
Combinatorial algorithms is enough for now,1
Data structures algorithms and object oriented programming is enough for now,1
Object-oriented data structures using Java is enough for now,1
Mathematics for the life sciences is enough for now,1
Concise and practical introduction to programming algorithms in Java is enough for now,1
Formal methods is enough for now,1
Statistical methods in bioinformatics is enough for now,1
Theory and problems of graph theory is enough for now,1
Statistical relational artificial intelligence: is enough for now,1
Algebraic coding theory and information theory is enough for now,1
Computer organization and architecture is enough for now,1
Cultural foundations of learning is enough for now,1
Introduction to computation and programming using Python is enough for now,1
Two-person game theory is enough for now,1
Design for embedded image processing on FPGAS is enough for now,1
Exercises in graph theory is enough for now,1
Introduction to machine learning and bioinformatics is enough for now,1
Genetics databases is enough for now,1
Handbook of computational group theory is enough for now,1
Inroduction to the design and analysis of algorithms is enough for now,1
Basic matrix with algorithms and applications is enough for now,1
Perspectives in computer architecture is enough for now,1
C++ plus data structures is enough for now,1
Nonlinear programming is enough for now,1
Artificial intelligence tools is enough for now,1
Clean code is enough for now,1
Multi-layer channel routing complexity and algorithms is enough for now,1
Dictionary of bioinformatics and computational biology is enough for now,1
Computer numerical control is enough for now,1
Bioinformatics - from genomes to therapies. VOL 1 is enough for now,1
Robotics technology and automation is enough for now,1
Essentials of programming languages is enough for now,1
Algorithmic game theory is enough for now,1
Computational nuclear physics two is enough for now,1
Real life applications of soft computing is enough for now,1
Smartphone energy consumption is enough for now,1
Computer networking with internet protocols and technology is enough for now,1
"Field theory, the renormalization group and critical phenomena is enough for now",1
Advancing digital humanities is enough for now,1
Quantum computing for computer scientists is enough for now,1
Analysis of algorithms is enough for now,1
Networking for big data is enough for now,1
First course in computational physics is enough for now,1
Data flow analysis is enough for now,1
"Computational mathematics, modelling and algorithms is enough for now",1
Digital processing is enough for now,1
Introduction to distributed algorithms is enough for now,1
Linear programming and game theory is enough for now,1
Sparse image and signal processing is enough for now,1
How to think about algorithms is enough for now,1
Abstract sets and finite ordinals is enough for now,1
Practical handbook of genetic algorithms. VOL 1 is enough for now,1
Computational principles of mobile robotics is enough for now,1
Object oriented analysis and design with applications is enough for now,1
Markov decision processes in artificial intelligence is enough for now,1
Projects in bioinformatics is enough for now,1
Beginning ASP.NET 1.1 databases is enough for now,1
Decision making in the manufacturing environment VOL.1 is enough for now,1
Large MIMO systems is enough for now,1
Software engineering fundamentals is enough for now,1
Digraphs is enough for now,1
Theory of graphs is enough for now,1
"Data structures, algorithms, and applications in C++ is enough for now",1
Software engineering 3 is enough for now,1
