topic,book
algorithms,Data structures and algorithms
algorithms,Data structures and algorithms
algorithms,Introduction to bioinformatics algorithms
algorithms,Algorithms in bioinformatics
algorithms,Introduction to the design and analysis of algorithms
algorithms,Optimization for engineering design
algorithms,Design and analysis of computer algorithms
algorithms,Optimization for engineering design
algorithms,Optimization for engineering design
algorithms,Foundations of algorithms
algorithms,Neural networks
algorithms,Analysis of algorithms
algorithms,Algorithms in bioinformatics
algorithms,Introduction to bioinformatics algorithms
algorithms,Introduction to engineering programming
algorithms,Data structures and algorithms
algorithms,Data structures and algorithms in C++
algorithms,Discrete mathematics with algorithms
algorithms,WDM optical networks
algorithms,Digital signal processing
algorithms,"Neural networks, fuzzy logic, and genetic algorithms"
algorithms,Introduction to algorithms
algorithms,Fuzzy-neural control
algorithms,Fuzzy-neural control
algorithms,Introduction to genetic algorithms
algorithms,Introduction to distributed algorithms
algorithms,Randomized algorithms
algorithms,"Algorithms on strings, trees, and sequences"
algorithms,Projects using C
algorithms,"Data structures, algorithms, and applications in C++"
algorithms,"Neural networks, fuzzy logic, and genetic algorithms"
algorithms,Algorithms+ data structures = programs
algorithms,Art of computer programming. VOL II
algorithms,Data structures and algorithms in C ++
algorithms,Design and analysis of computer algorithms
algorithms,"Data sructures, algorithms and applications in c++"
algorithms,"Neural network fundamentals with graphs, algorithms, and applications"
algorithms,Introduction to algorithms
algorithms,Design and analysis of computer algorithms
algorithms,Digital signal processing
algorithms,Interactive computer graphics
algorithms,Digital signal processing
algorithms,Hierarchical bayesian optimization algorithm
algorithms,Beginning algorithms
algorithms,Foundations of software testing
algorithms,Information retrieval
algorithms,Applied cryptography
algorithms,Applied cryptography
algorithms,Randomized algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Introduction to the design and analysis of algorithms
algorithms,Parallel algorithms
algorithms,Art of computer programming VOL 4A
algorithms,Algorithms unplugged
algorithms,Foundations of software testing
algorithms,Computer vision
algorithms,Multicore computing
algorithms,Foundations of statistical algorithms
algorithms,Introduction to data structures and algorithms
algorithms,Concise and practical introduction to programming algorithms in Java
algorithms,Geometric approximation algorithms VOL. 173
algorithms,Faster algorithms via approximation theory
algorithms,Computer arithmetic algorithms
algorithms,Discrete optimization algorithms with pascal programs
algorithms,Condition
algorithms,Data structures and algorithms made easy in JAVA
algorithms,Probably approximately correct
algorithms,Understanding machine learning
algorithms,Machine learning
algorithms,Implementing spectral methods for partial differential equations
algorithms,Mastering openCV android application programming
algorithms,Introduction to numerical electrostatics using MATLAB
algorithms,Quality of service in heterogeneous networks
algorithms,Algorithms and parallel computing
algorithms,End to end adaptive congestion control in TCP/IP networks
algorithms,Discrete optimization algorithms
algorithms,Distributed strategic learning for wireless engineers
algorithms,Introduction to cryptography
algorithms,Computational Engineering
algorithms,Large MIMO systems
algorithms,Security and game theory
algorithms,Manufacturing automation :
algorithms,Software essentials
algorithms,Genome scale algorithm design
algorithms,Guide to experimental algorithmics
algorithms,Continuous time dynamical systems
algorithms,Biosignal processing
algorithms,Algorithms unlocked
algorithms,Lobachevsky Geometry and Modern Nonlinear Problems
algorithms,Digital processing
algorithms,Experimental Methods for the Analysis of Optimization Algorithms
algorithms,Data structures and algorithms in JAVA
algorithms,Mining of data with complex structures
algorithms,Handbook of graph theory combinatorial optimization and algorithms
algorithms,Optimization in chemical engineering
algorithms,Graph theory
algorithms,Introduction to distributed algorithms
algorithms,Algorithms and discrete applied mathematics
algorithms,Design for embedded image processing on FPGAS
algorithms,Design for embedded image processing on FPGAS
algorithms,Graph theory
algorithms,Discrete systems and integrability
algorithms,Computing universe
algorithms,Introduction to algorithms
algorithms,Introduction to computational mathematics
algorithms,Primality testing for beginners VOL.70
algorithms,Algorithms for next generation sequencing
algorithms,Data structures and algorithms using C
algorithms,Data structures and algorithms in java
algorithms,Introduction to the design and analysis of algorithms
algorithms,Data structures algorithms and object oriented programming
algorithms,Optimization for engineering design :
algorithms,First course in machine learning
algorithms,Algorithms
algorithms,Introduction to the analysis of algorithms
algorithms,Parsing schemata for practical text analysis
algorithms,Theory of randomized search heuristics
algorithms,Algorithms architectures and information systems security
algorithms,Design and control of automotive propulsion systems
algorithms,Machine learning
algorithms,Handbook of parallel computing :
algorithms,Algorithms for analysis inference and control of boolean networks
algorithms,Algorithms and complexity VOL. A
algorithms,Design and analysis of algorithms
algorithms,Design and analysis of algorithms
algorithms,Introduction to soft computing :
algorithms,Algorithms
artificial intelligence,Swarm intelligence from natural to artificial systems
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Markov decision processes in artificial intelligence
artificial intelligence,Contemporary artificial intelligence
artificial intelligence,Prolog programming for artificial intelligence
artificial intelligence,"Electric systems, dynamics, and stability with artificial intelligence applications"
artificial intelligence,"Robotics, mechatronics, and artificial intelligence"
artificial intelligence,Evolution of the web in artificial intelligence environments
artificial intelligence,Artificial intelligence
artificial intelligence,Introduction to artificial intelligence and expert systems
artificial intelligence,Intelligent bioinformatics
artificial intelligence,Artificial intelligence and soft computing
artificial intelligence,Gene expression programming
artificial intelligence,Artificial intelligence
artificial intelligence,Emperical methods for artificial intelligence
artificial intelligence,Artificial intelligence handbook
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Principles of artificial intelligence
artificial intelligence,Principles of artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence application programming
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Artificial intelligence and intelligent systems
artificial intelligence,Artificial intelligence and intelligent systems
artificial intelligence,Artificial intelligence and intelligent systems
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Universal artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Introduction to artificial intelligence and expert systems
artificial intelligence,Introduction to artificial intelligence and expert systems
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence illuminated
artificial intelligence,Neural networks and artificial intelligence for biomedical engineering
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence application programming
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Neural networks and artificial intelligence for biomedical engineering
artificial intelligence,Artificial intelligence
artificial intelligence,Emperical methods for artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Introduction to artificial intelligence and expert systems
artificial intelligence,Into the heart of the mind
artificial intelligence,Bridging the gap between graph edit distance and kernel machines
artificial intelligence,First course in artificial intelligence
artificial intelligence,First course in artificial intelligence
artificial intelligence,Artificial intelligence
artificial intelligence,Cambridge handbook of artificial intelligence
artificial intelligence,Introduction to artificial intelligence
artificial intelligence,Computational Intelligence in Digital Forensics
artificial intelligence,Artificial intelligence tools
artificial intelligence,Conversational Informatics
artificial intelligence,Security and game theory
artificial intelligence,Cambridge handbook of cognitive science
artificial intelligence,Almost human :
artificial intelligence,Almost human
artificial intelligence,Humanoid robotics and neuroscience
artificial intelligence,Prolog programming for artificial intelligence
artificial intelligence,Halo mythos
artificial intelligence,Computing universe
artificial intelligence,Minds new science
artificial intelligence,Large the small and the human mind
artificial intelligence,Minds new science
artificial intelligence,Donald Michie on machine intelligence biology and more
artificial intelligence,Handbook on reasoning based intelligent systems
artificial intelligence,Statistical relational artificial intelligence:
artificial intelligence,Deep learning :
artificial intelligence,Artificial intelligence and soft computing for beginners
artificial intelligence,Cyberpsychology :
boolean logic,Logic computation hierarchies
boolean logic,Software essentials
boolean logic,Logician and the engineer:
coding theory,Coding theorems of information theory
coding theory,Modern coding theory
coding theory,Selected topics in information and coding theory
coding theory,Introduction to coding theory
coding theory,"Topics in geometry, coding theory and cryptography"
coding theory,Information and coding theory
coding theory,Foundations of coding
coding theory,Introduction to coding theory
coding theory,Foundations of coding
coding theory,Introduction to cryptography with coding theory
coding theory,Space-time coding
coding theory,Algebraic coding theory and information theory
coding theory,Introduction to cryptography with coding theory
coding theory,Coding theory and cryptography
coding theory,Mathematics of coding theory
coding theory,Codes for error detection
coding theory,Lattice coding for signals and networks
coding theory,Compressive sensing for wireless networks
coding theory,Information theory and coding by example
coding theory,Encyclopedia of Distances
coding theory,Algebraic curves in cryptography
coding theory,Students guide to coding and information theory
coding theory,Code book
coding theory,Mathematics of encryption
coding theory,Boolean functions in coding theory and cryptography
coding theory,Context free languages and primitive words
coding theory,Demystifying computation
coding theory,Selected topics in information and coding theory
coding theory,Information theory coding and cryptography
Computer Architecture,Computer system architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer architecture and implementation
Computer Architecture,Advanced computer architectures
Computer Architecture,Computer architecture and organization
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Advanced computer architecture and parallel processing
Computer Architecture,Computer architecture
Computer Architecture,Parallel computer architecture
Computer Architecture,Programmer's view of computer architecture
Computer Architecture,Perspectives in computer architecture
Computer Architecture,Fundamentals of computer architecture
Computer Architecture,Advanced computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Advanced computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer architecture and organization
Computer Architecture,Computer architecture and organization
Computer Architecture,Speculative execution in high performance computer architectures
Computer Architecture,Advanced computer architectures
Computer Architecture,Computer architecture
Computer Architecture,Assembly language and computer architecture using C++ and JAVA
Computer Architecture,Computer architecture and parallel processing
Computer Architecture,Computer architecture and parallel processing
Computer Architecture,Computer architecture and parallel processing
Computer Architecture,Computer architecture and parallel processing
Computer Architecture,Computer architecture
Computer Architecture,Computer system design and architecture
Computer Architecture,Schaum's outline of computer architecture
Computer Architecture,Computer architecture and parallel processing
Computer Architecture,Parallel computers
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer system architecture
Computer Architecture,Computer system architecture
Computer Architecture,Parallel computer architecture
Computer Architecture,Parallel computer architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture a quantitative approach
Computer Architecture,Computer architecture and organization
Computer Architecture,Essentials of computer organization and architecture
Computer Architecture,Parallel computer architecture
Computer Architecture,Advanced computer architecture
Computer Architecture,Computer architecture and organization
Computer Architecture,Advanced computer architecture
Computer Architecture,Parallel computers
Computer Architecture,Parallel computers
Computer Architecture,Computer systems organization and architecture
Computer Architecture,Computer architecture and organization
Computer Architecture,Computer system architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer organization and architecture
Computer Architecture,Computer system architecture
Computer Architecture,Advanced computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer programming and architecture
Computer Architecture,Computer system architecture
Computer Architecture,Computer system architecture
Computer Architecture,Computer architecture
Computer Architecture,Computer architecture
Computer Architecture,Parallel computer architecture
Computer Architecture,Parallel computer architecture
Computer Architecture,Advanced computer architecture
Computer Architecture,"Computer organization, design and architecture"
Computer Architecture,Quality of service in heterogeneous networks
Computer Architecture,Scalability density and decision making in cognitive wireless networks
Computer Architecture,Software essentials
Computer Architecture,Guide to experimental algorithmics
Computer Architecture,Fundamentals of stream processing
Computer Architecture,Wireless Sensor and Mobile Ad Hoc Networks
Computer Architecture,Computer organization and architecture
Computer Architecture,Processor architecture
Computer Architecture,Evaluating software architectures
Computer Architecture,Algorithms architectures and information systems security
Computer Architecture,Deep learning :
Computer Security,Security in Ad Hoc and sensor networks
Computer Security,Computer security in the twenty first century
Computer Security,Security of e-systems and computer networks
Computer Security,Foundations of computer security
Computer Security,Principles of computer security
Computer Security,Machine learning and data mining for computer security
Computer Security,Computer security
Computer Security,Computer security handbook
Computer Security,Elements of computer security
Computer Security,Quality of service in heterogeneous networks
Computer Security,Information Security and Digital Forensics
Computer Security,Computational Intelligence in Digital Forensics
Computer Security,Introduction to cryptography
Computer Security,Everyday cryptography
Computer Security,Security and game theory
Computer Security,Understanding and applying cryptography and data security
Computer Security,Understanding and applying cryptography and data security
Computer Security,Introduction to computer networks and cybersecurity
Computer Security,Wireless Sensor and Mobile Ad Hoc Networks
Computer Security,Algebraic curves in cryptography
computer vision,Learning open CV
computer vision,Digital image processing and computer vision
computer vision,Computer vision and applications
computer vision,Handbook of computer vision and applications. VOL 3
computer vision,Handbook of computer vision and applications. VOL 2
computer vision,Handbook of computer vision and applications. VOL 1
computer vision,Handbook of mathematical models in computer vision
computer vision,Energy minimization methods in computer vision and pattern recognition
computer vision,Computer vision
computer vision,Digital image processing and analysis
computer vision,Computer vision
computer vision,Information theory in computer vision and pattern recognition
computer vision,Mastering openCV android application programming
computer vision,Computer vision in robotics and industrial applications
computer vision,Conversational Informatics
computer vision,Microarray image and data analysis
computer vision,Handbook of parallel computing :
Cryptography,Cryptography
Cryptography,"Cryptography, automata and learning theory"
Cryptography,Primality testing and integer factorization in public key cryptography
Cryptography,Cryptography and security
Cryptography,Classical introduction to cryptography
Cryptography,Cryptography and network security
Cryptography,Selected topics in information and coding theory
Cryptography,Algorithmic number theory
Cryptography,Quantum communications and cryptography
Cryptography,Protecting information
Cryptography,Wireless security and cryptography
Cryptography,"Topics in geometry, coding theory and cryptography"
Cryptography,Introduction to cryptography
Cryptography,Introduction to cryptography
Cryptography,Course in number theory and cryptography
Cryptography,Quantum communications and cryptography
Cryptography,Applied cryptography
Cryptography,Practical cryptography
Cryptography,Cryptography and network security
Cryptography,Cryptography and network security
Cryptography,Beginning cryptography with Java
Cryptography,Introduction to cryptography with coding theory
Cryptography,Introduction to cryptography
Cryptography,Cryptography for visual basic
Cryptography,Introduction to cryptography with coding theory
Cryptography,Cryptography in the database
Cryptography,Cryptography in C and C++
Cryptography,Coding theory and cryptography
Cryptography,Handbook of applied cryptography
Cryptography,Foundations of cryptography. VOL 2
Cryptography,Foundations of cryptography. VOL 1
Cryptography,Applied cryptography
Cryptography,Cryptography and network security
Cryptography,Cryptography and network security
Cryptography,Introduction to cryptography
Cryptography,Cryptography and network security
Cryptography,Cryptography and network security
Cryptography,Foundations of cryptography. VOL 1
Cryptography,Foundations of cryptography. VOL 2
Cryptography,Cryptography and network security
Cryptography,Cryptography
Cryptography,Cryptography
Cryptography,Cryptography
Cryptography,Classical introduction to cryptography
Cryptography,Applied cryptography
Cryptography,Applied cryptography
Cryptography,Introduction to cryptography
Cryptography,Introduction to cryptography
Cryptography,Cryptography and network security
Cryptography,Cryptography
Cryptography,Introduction to cryptography with maple
Cryptography,Modern cryptography
Cryptography,Contemporary cryptography
Cryptography,Post quantum cryptography
Cryptography,Applied quantum cryptography
Cryptography,Applied cryptography for cyber security and defense
Cryptography,Introduction to modern cryptography
Cryptography,Course in number theory and cryptography
Cryptography,Introduction to cryptography
Cryptography,Everyday cryptography
Cryptography,Understanding and applying cryptography and data security
Cryptography,Understanding and applying cryptography and data security
Cryptography,Algebraic curves in cryptography
Cryptography,Introduction to number theory with cryptography
Cryptography,Quantum computing since democritus
Cryptography,Code book
Cryptography,Mathematics of encryption
Cryptography,Boolean functions in coding theory and cryptography
Cryptography,Decentralized applications :
Cryptography,Introduction to modern cryptography
Cryptography,Information theory coding and cryptography
data structures,Object-oriented data structures using Java
data structures,Theory and problems of data structures with c++
data structures,Data structures and algorithm analysis in C
data structures,Advanced data structures
data structures,Handbook of data structures and applications
data structures,Data structures and algorithms using C
data structures,Ada plus
data structures,Manufacturing data structures
data structures,Data structures and algorithms in Java
data structures,Data structures via c++
data structures,Data structures and algorithms using C#
data structures,Data structures using C
data structures,Data structures
data structures,C programming and data structures
data structures,Data structures
data structures,C programming and data structures
data structures,Practical approach to programming in C
data structures,Data structures
data structures,Data structures
data structures,Data structures
data structures,C and data structures
data structures,Algorithms and data structures in C++
data structures,Algorithms and data structures
data structures,C++ plus data structures
data structures,Data structures
data structures,Data structures
data structures,Theory and problems of data structures with c++
data structures,Algorithms+ data structures = programs
data structures,Algorithms+ data structures = programs
data structures,Algorithms+ data structures = programs
data structures,Algorithms+ data structures = programs
data structures,Algorithms+ data structures = programs
data structures,Algorithms+ data structures = programs
data structures,Algorithms+ data structures = programs
data structures,Algorithms+ data structures = programs
data structures,C and data structures
data structures,Algorithms and data structures in C++
data structures,Algorithms and data structures
data structures,Data structures using c and c++
data structures,Data structures using c and c++
data structures,Data structures using c and c++
data structures,Data structures and algorithms in Java
data structures,Data structures
data structures,Data structures using c
data structures,C programming and data structures
data structures,C and data structures
data structures,Algorithms and data structures in C++
data structures,Algorithms and data structures
data structures,Data structures using c
data structures,Data structures and algorithms using c
data structures,"Data structures, algorithms, and applications in Java"
data structures,Theory and problems of data structures
data structures,Data structures
data structures,Data structures using c
data structures,Data structures and algorithm analysis in C
data structures,Data structures with JAVA
data structures,Data structures and algorithms
data structures,Data structures and algorithms
data structures,Data structures and algorithms
data structures,Data structures and algorithms
data structures,Data structures and algorithms
data structures,Data structures and algorithms
data structures,Fundamentals of data structures
data structures,Data structures using c
data structures,Data structures using C
data structures,Applied data structures with C++
data structures,Theory and problems of data structures
data structures,Data structures and algorithms
data structures,Data structures and algorithms in C++
data structures,Data structures using c and c++
data structures,Data structures and program design in c
data structures,Data structures and program design in c
data structures,Data management and file structures
data structures,Data structures via c++
data structures,Data structures
data structures,"Data structures, algorithms, and applications in C++"
data structures,Data structures and program design in c
data structures,Algorithms+ data structures = programs
data structures,Introduction to data structures with applications
data structures,Data structures and software develoment
data structures,Programming and data structures
data structures,Data structures using c and c++
data structures,Data structures and algorithms in C ++
data structures,Data structures using c and c++
data structures,Fundamentals of data structures
data structures,Data structures and programme design
data structures,Data structures and program design in c
data structures,Data structures and program design in c
data structures,Introduction to data structures and algorithms
data structures,Data structures and algorithms made easy in JAVA
data structures,Introduction to cryptography
data structures,Introduction to computational models with Python
data structures,Probability and stochastic modeling
data structures,Genome scale algorithm design
data structures,Guide to experimental algorithmics
data structures,Encyclopedia of Distances
data structures,Data structures and algorithms in JAVA
data structures,Mining of data with complex structures
data structures,Fundamentals of data structures in C++
data structures,Doing data science
data structures,Web data management
data structures,Head first C
data structures,Clean code
data structures,Data structures using C
data structures,Data structures with C
data structures,Data structures and algorithms using C
data structures,Data structures and program design in C
data structures,Data structures through C
data structures,Data structures and algorithms in java
data structures,Data structures
data structures,Data structures algorithms and object oriented programming
data structures,Handbook of parallel computing :
data structures,Basic concepts in data structures
data structures,Handbook of data structures and applications
data structures,Data science with Java
data structures,Proof and computation :
data structures,Data structures using C
Evolutionary Computing,Real-world applications of evolutionary computing
Evolutionary Computing,Hybrid intelligent systems for pattern recognition using soft computing
Evolutionary Computing,Theory of randomized search heuristics
game theory,Game theory for wireless communications and networking
game theory,Fixed points and economic equilibria
game theory,Introduction to linear programming and game theory
game theory,Game theory with economic applications
game theory,Insights into game theory
game theory,Game theory
game theory,Algorithmic game theory
game theory,Game theory
game theory,Game theory and pragmatics
game theory,Game theory
game theory,Linear programming and theory of games
game theory,Introduction to game theory
game theory,Compleat strategyst
game theory,"Games, theory and applications"
game theory,Introduction to the theory of games
game theory,Mathematics of games of srategy
game theory,"Mathematical methods and theory in games, programming, and economics. VOL 1"
game theory,"Mathematical methods and theory in games, programming, and economics. VOL 1"
game theory,Two-person game theory
game theory,Theory of games and statistical decisions
game theory,Game theory and politics
game theory,Game theory
game theory,Game theory
game theory,Strategy
game theory,Decision making using game theory
game theory,Linear programming and game theory
game theory,Introducing game theory and its applications
game theory,Game Theory and economics
game theory,Game theory
game theory,Decision making using game theory
game theory,Introduction to game theory
game theory,New perspectives on industrial organization
game theory,Games and information
game theory,Introduction to game theory
game theory,Game theory
game theory,Game theory
game theory,Introductory course on mathematical game theory
game theory,Advances in dynamic games
game theory,Distributed strategic learning for wireless engineers
game theory,Linear optimization
game theory,Security and game theory
game theory,Chance strategy and choice
game theory,Mathematics of games
game theory,Essential John Nash
game theory,Video game theory reader
game theory,Quantum information theory
game theory,Mind at play
game theory,Folkloresque
game theory,Mind at play
game theory,Course in game theory
game theory,Gentle introduction to game theory Vol. 13
game theory,Power of computational thinking :
game theory,Differential games in industrial economics
game theory,Political theory primer
game theory,Evolutionary games and population dynamics
graph theory,Discrete mathematics and its applications
graph theory,Graph theory
graph theory,First course in graph theory and combinatorics
graph theory,Exercises in graph theory
graph theory,Graph theory
graph theory,First look at graph theory
graph theory,Beginners guide to graph theory
graph theory,Topics in algebraic graph theory
